tavg,tmin,tmax,prcp,wspd,wdir,pres,tsun,Date
2.6,-0.5,5.3,72.0,10.8,20,1015.0,4500,01-Jan-2001
4.7,1.1,8.1,58.0,13.0,20,1018.7,5100,01-Feb-2001
6.7,3.4,10.0,115.0,12.5,25,1007.1,3540,01-Mar-2001
8.8,4.2,13.4,57.0,13.2,35,1013.5,7680,01-Apr-2001
16.6,10.8,22.3,27.0,13.8,40,1016.6,16200,01-May-2001
16.4,11.2,21.8,58.0,11.2,45,1017.0,11280,01-Jun-2001
20.7,14.8,26.5,38.0,11.8,60,1015.1,14760,01-Jul-2001
20.5,15.2,26.2,68.0,10.6,45,1016.5,14340,01-Aug-2001
13.0,9.3,17.1,97.0,13.4,80,1013.4,2880,01-Sep-2001
13.4,9.2,17.9,46.0,9.8,350,1018.6,5400,01-Oct-2001
4.6,1.3,7.8,90.0,10.9,100,1022.9,4680,01-Nov-2001
1.4,-1.9,4.0,28.0,14.2,110,1023.7,3480,01-Dec-2001
1.3,-1.3,3.8,35.0,13.5,150,1026.5,3420,01-Jan-2002
6.5,2.9,10.1,97.0,20.9,180,1014.3,4860,01-Feb-2002
7.3,1.9,12.5,36.0,12.5,220,1018.9,9060,01-Mar-2002
10.1,5.1,15.3,46.0,13.2,270,1015.9,11040,01-Apr-2002
14.6,9.7,19.5,91.0,10.8,290,1014.5,10380,01-May-2002
19.5,,25.3,16.0,11.3,10,1016.2,14160,01-Jun-2002
19.1,14.3,24.4,113.0,11.4,23,1014.9,10200,01-Jul-2002
20.0,15.4,25.2,54.0,8.5,48,1014.9,11580,01-Aug-2002
14.5,9.1,19.9,30.0,9.8,45,1019.3,11640,01-Sep-2002
10.3,6.6,,92.0,13.5,90,1013.9,5040,01-Oct-2002
8.0,5.1,10.8,88.0,9.3,110,1010.4,3060,01-Nov-2002
3.1,0.8,5.7,81.0,10.9,120,1017.7,2760,01-Dec-2002
1.2,-2.0,4.0,61.0,14.6,164,1017.1,3480,01-Jan-2003
0.4,-4.0,5.2,9.0,11.0,156,1022.7,9240,01-Feb-2003
8.3,2.8,14.1,13.0,10.5,148,1024.3,10980,01-Mar-2003
10.8,4.4,16.8,12.0,12.8,147,1016.8,13140,01-Apr-2003
15.7,9.9,21.3,65.0,12.6,167,1017.6,11400,01-May-2003
21.9,15.5,28.6,25.0,10.7,180,1015.8,18300,01-Jun-2003
21.1,14.9,27.5,33.0,11.1,150,1016.2,14640,01-Jul-2003
23.7,16.6,30.7,13.0,10.6,20,1016.7,18060,01-Aug-2003
15.7,9.5,22.5,31.0,9.9,30,1020.8,13380,01-Sep-2003
6.8,3.5,10.2,31.0,12.2,25,1014.3,6120,01-Oct-2003
7.2,4.0,10.5,39.0,10.2,35,1017.7,4440,01-Nov-2003
3.0,-0.2,6.0,40.0,12.8,40,1019.8,4500,01-Dec-2003
2.0,-0.6,4.5,70.0,14.6,45,1011.6,1980,01-Jan-2004
4.2,0.8,7.4,19.0,14.7,70,1020.3,4200,01-Feb-2004
5.8,1.2,10.4,18.0,12.8,45,1021.6,8460,01-Mar-2004
11.6,5.8,17.1,19.0,12.5,80,1013.6,12120,01-Apr-2004
13.3,7.5,18.4,66.0,10.7,350,1015.1,12480,01-May-2004
